Male,23,Fashion Industry,"Instagram, Facebook, Twitter",After dinner time (After 8.00 p.m.),Less than 2 posts,In between 1000 - 10000,Images,Yes,Yes,Once or twice a week
Female,21,Fashion Industry,WhatsApp,After dinner time (After 8.00 p.m.),More than 5 posts,In between 1000 - 10000,Images,Yes,No,Almost everyday
Female,21,Fashion Industry,WhatsApp,After dinner time (After 8.00 p.m.),More than 5 posts,In between 1000 - 10000,Images,Yes,No,Almost everyday
Female,22,Fashion Industry,"Instagram, Facebook, WhatsApp",After dinner time (After 8.00 p.m.),In between 2 - 5 posts,Less than 1000,Images,Yes,Yes,Once in a month
Female,22,Food and Beverages Industry,"Instagram, Facebook, WhatsApp",After dinner time (After 8.00 p.m.),In between 2 - 5 posts,Less than 1000,Images,Yes,No,Once or twice a week
Female,21,Food and Beverages Industry,"Instagram, Facebook, WhatsApp",After dinner time (After 8.00 p.m.),In between 2 - 5 posts,Less than 1000,Images,Yes,Yes,Once or twice a week
Female,28,Healthcare Industry,"Instagram, Facebook, WhatsApp",After dinner time (After 8.00 p.m.),In between 2 - 5 posts,Less than 1000,Images,Yes,Yes,Once or twice a week
Female,22,Food and Beverages Industry,"Instagram, WhatsApp",After dinner time (After 8.00 p.m.),In between 2 - 5 posts,Less than 1000,Images,Yes,Yes,Once or twice a week
Female,22,Food and Beverages Industry,"Instagram, WhatsApp",After dinner time (After 8.00 p.m.),In between 2 - 5 posts,Less than 1000,Images,Yes,Yes,Once or twice a week
Female,22,Food and Beverages Industry,"Instagram, Facebook",Before sleep hours (In between 11 p.m. - 12.00 a.m.),In between 2 - 5 posts,Less than 1000,Images,Yes,Yes,Once or twice a week
Female,22,Food and Beverages Industry,"Instagram, Facebook, Twitter, WhatsApp",Before sleep hours (In between 11 p.m. - 12.00 a.m.),In between 2 - 5 posts,Less than 1000,Images,Yes,Yes,Once in a month
Female,22,Art,Facebook,During lunch break (12.30 p.m. - 2.00 p.m.),In between 2 - 5 posts,Less than 1000,Images,Yes,Yes,Once or twice a week
Female,21,Book,"Instagram, Facebook",During lunch break (12.30 p.m. - 2.00 p.m.),In between 2 - 5 posts,Less than 1000,Images,Yes,Yes,Once in a month
Female,22,Fashion Industry,"Instagram, Facebook, WhatsApp",During lunch break (12.30 p.m. - 2.00 p.m.),In between 2 - 5 posts,Less than 1000,Images,Yes,Yes,Once or twice a week
Female,22,Fashion Industry,"Instagram, Facebook, WhatsApp",During lunch break (12.30 p.m. - 2.00 p.m.),In between 2 - 5 posts,Less than 1000,Images,Yes,Yes,Once or twice a week
Female,22,Food and Beverages Industry,"Instagram, Facebook, Twitter, WhatsApp",After dinner time (After 8.00 p.m.),Less than 2 posts,Less than 1000,Images,Yes,Yes,Once or twice a week
Female,22,Food and Beverages Industry,"Instagram, Facebook, WhatsApp",After dinner time (After 8.00 p.m.),Less than 2 posts,Less than 1000,Images,Yes,Yes,Once or twice a week
Female,22,Fashion Industry,"Facebook, WhatsApp",Before working/school hours starts (Before 8 a.m.),Less than 2 posts,Less than 1000,Images,Yes,Yes,Once in a month
Female,22,Food and Beverages Industry,"Instagram, WhatsApp",Before working/school hours starts (Before 8 a.m.),Less than 2 posts,Less than 1000,Images,Yes,Yes,Once or twice a week
Female,22,Food and Beverages Industry,"Instagram, WhatsApp",Before working/school hours starts (Before 8 a.m.),Less than 2 posts,Less than 1000,Images,Yes,Yes,Once or twice a week
Male,22,Entertainment Industry,"Facebook, WhatsApp",During lunch break (12.30 p.m. - 2.00 p.m.),Less than 2 posts,Less than 1000,Images,No,Yes,Once in a month
Female,22,Food and Beverages Industry,"Facebook, WhatsApp",During lunch break (12.30 p.m. - 2.00 p.m.),Less than 2 posts,Less than 1000,Images,Yes,Yes,Once or twice a week
Female,22,Food and Beverages Industry,"Instagram, Facebook, Twitter, WhatsApp",During lunch break (12.30 p.m. - 2.00 p.m.),Less than 2 posts,Less than 1000,Images,Yes,No,Almost everyday
Female,22,Food and Beverages Industry,"Instagram, Facebook, WhatsApp",During lunch break (12.30 p.m. - 2.00 p.m.),Less than 2 posts,Less than 1000,Images,Yes,No,Once or twice a week
Male,18,Fashion Industry,"Instagram, WhatsApp",During lunch break (12.30 p.m. - 2.00 p.m.),Less than 2 posts,Less than 1000,Images,Yes,Yes,Once or twice a week
Male,22,Food and Beverages Industry,"Instagram, Facebook, WhatsApp",Before sleep hours (In between 11 p.m. - 12.00 a.m.),More than 5 posts,Less than 1000,Images,Yes,Yes,Once or twice a week
Male,21,Healthcare Industry,"Instagram, Facebook",During lunch break (12.30 p.m. - 2.00 p.m.),More than 5 posts,Less than 1000,Images,Yes,Yes,Once in a month
Female,22,Fashion Industry,"Instagram, Twitter, WhatsApp",Before sleep hours (In between 11 p.m. - 12.00 a.m.),Less than 2 posts,Less than 1000,Stop-motion Video,Yes,Yes,Almost everyday
Female,22,Food and Beverages Industry,"Instagram, Facebook, Twitter, WhatsApp",Before sleep hours (In between 11 p.m. - 12.00 a.m.),In between 2 - 5 posts,Less than 1000,Text,Yes,Yes,Once in a month
Female,19,Food and Beverages Industry,"Instagram, Facebook, WhatsApp",After dinner time (After 8.00 p.m.),In between 2 - 5 posts,In between 1000 - 10000,Videos,Yes,Yes,Once or twice a week
Male,22,Computer or Technology Industry,"Instagram, Facebook",During lunch break (12.30 p.m. - 2.00 p.m.),In between 2 - 5 posts,In between 1000 - 10000,Videos,Yes,Yes,Once or twice a week
Female,22,Food and Beverages Industry,Instagram,After dinner time (After 8.00 p.m.),In between 2 - 5 posts,Less than 1000,Videos,Yes,Yes,Once or twice a week
Female,22,Health and Beauty,"Instagram, Facebook, Twitter, WhatsApp",After dinner time (After 8.00 p.m.),In between 2 - 5 posts,Less than 1000,Videos,Yes,No,Once or twice a week
Female,22,Fashion Industry,"Instagram, Facebook, WhatsApp",After dinner time (After 8.00 p.m.),In between 2 - 5 posts,Less than 1000,Videos,Yes,Yes,Once or twice a week
Female,22,Fashion Industry,"Instagram, Facebook, WhatsApp",After dinner time (After 8.00 p.m.),In between 2 - 5 posts,Less than 1000,Videos,Yes,No,Once or twice a week
Female,22,Fashion Industry,"Instagram, WhatsApp",After dinner time (After 8.00 p.m.),In between 2 - 5 posts,Less than 1000,Videos,Yes,Yes,Once or twice a week
Female,22,Food and Beverages Industry,"Instagram, Facebook, WhatsApp",Before sleep hours (In between 11 p.m. - 12.00 a.m.),In between 2 - 5 posts,Less than 1000,Videos,Yes,No,Once in a month
Female,21,Food and Beverages Industry,"Instagram, Facebook, WhatsApp",Before sleep hours (In between 11 p.m. - 12.00 a.m.),In between 2 - 5 posts,Less than 1000,Videos,Yes,Yes,Once or twice a week
Female,22,Fashion Industry,Instagram,During lunch break (12.30 p.m. - 2.00 p.m.),In between 2 - 5 posts,Less than 1000,Videos,Yes,Yes,Almost everyday
Female,22,Fashion Industry,Instagram,During lunch break (12.30 p.m. - 2.00 p.m.),In between 2 - 5 posts,Less than 1000,Videos,Yes,Yes,Almost everyday
Female,22,Fashion Industry,Instagram,During lunch break (12.30 p.m. - 2.00 p.m.),In between 2 - 5 posts,Less than 1000,Videos,Yes,Yes,Almost everyday
Female,22,Fashion Industry,Instagram,During lunch break (12.30 p.m. - 2.00 p.m.),In between 2 - 5 posts,Less than 1000,Videos,Yes,No,Once in a month
Female,22,Food and Beverages Industry,"Instagram, Facebook, WhatsApp",During lunch break (12.30 p.m. - 2.00 p.m.),In between 2 - 5 posts,Less than 1000,Videos,Yes,Yes,Once or twice a week
Female,22,Food and Beverages Industry,"Instagram, Facebook",Before sleep hours (In between 11 p.m. - 12.00 a.m.),Less than 2 posts,Less than 1000,Videos,Yes,Yes,Once in a month
Female,22,Food and Beverages Industry,Facebook,Before working/school hours starts (Before 8 a.m.),Less than 2 posts,Less than 1000,Videos,Yes,Yes,Once or twice a week
Female,21,Food and Beverages Industry,Instagram,During lunch break (12.30 p.m. - 2.00 p.m.),Less than 2 posts,Less than 1000,Videos,Yes,Yes,Once or twice a week
Female,22,Fashion Industry,"Instagram, Facebook",During lunch break (12.30 p.m. - 2.00 p.m.),Less than 2 posts,Less than 1000,Videos,Yes,Yes,Once in a month
Female,22,Food and Beverages Industry,"Instagram, Facebook",During lunch break (12.30 p.m. - 2.00 p.m.),Less than 2 posts,Less than 1000,Videos,Yes,Yes,Once or twice a week
Female,22,Food and Beverages Industry,"Instagram, Facebook",During lunch break (12.30 p.m. - 2.00 p.m.),Less than 2 posts,Less than 1000,Videos,Yes,Yes,Once or twice a week
Female,22,Fashion Industry,"Instagram, Facebook, Twitter, WhatsApp",During lunch break (12.30 p.m. - 2.00 p.m.),Less than 2 posts,Less than 1000,Videos,Yes,Yes,Once or twice a week
Female,22,Food and Beverages Industry,"Instagram, Facebook, WhatsApp",During lunch break (12.30 p.m. - 2.00 p.m.),Less than 2 posts,Less than 1000,Videos,No,Yes,Once or twice a week